id	filename	md5	size	state
0634554f-2522-4d54-9288-e3529eb71a0d	0634554f-2522-4d54-9288-e3529eb71a0d/f31019da-0c25-436d-a327-f3e8c2b7e022.FPKM.txt.gz	a4e3fbdb5b50fcf063ca16a96b245119	301898	validated
063d0268-40ae-4ddd-ba30-bf3a1db07b1c	063d0268-40ae-4ddd-ba30-bf3a1db07b1c/923162e0-3afb-43d6-ae0c-a8b5ff37978b.FPKM.txt.gz	701995ff93b46cd11b6ff85b1f9c4c0b	297659	validated
06c12be3-c111-48dc-a90e-cf651c766f08	06c12be3-c111-48dc-a90e-cf651c766f08/9c15a304-ff7a-436f-95cf-3a2483ce8055.FPKM.txt.gz	acee0925190b4f7e2f52916c0f0f5efe	307053	validated
070185a7-cae5-41fc-becc-e2f932d9aa83	070185a7-cae5-41fc-becc-e2f932d9aa83/b07e4093-5b08-4661-b5b7-3335a58732c6.FPKM.txt.gz	86759d7cf8d3fbec04573a47b32a371b	298625	validated
074b398f-804e-4c14-a9ee-3661ca916255	074b398f-804e-4c14-a9ee-3661ca916255/874febee-e2cb-4172-831b-9bd478e12f06.FPKM.txt.gz	924e2c2db9990953181bd09feeadb182	300221	validated
07638aea-32a7-47dd-a73a-8ba6b5257b77	07638aea-32a7-47dd-a73a-8ba6b5257b77/c117ba64-ac66-4ddc-95ad-8228a11f9e9c.FPKM.txt.gz	535359dbfcf976743d3097e986d7b1fe	305864	validated
0799e1e0-f161-49b7-b5ac-bbe9156325e2	0799e1e0-f161-49b7-b5ac-bbe9156325e2/ea47c4e0-7276-4c71-86bb-388aa445426b.FPKM.txt.gz	91fd6f64663a74bc64b980c19d65e001	310413	validated
07b27a00-68a2-4d6e-82aa-9d37c4091641	07b27a00-68a2-4d6e-82aa-9d37c4091641/407938f8-0eca-4c07-8e23-83c0dacb26ea.FPKM.txt.gz	23c3a483f92fbab3ad7d441e1f7f8ab0	299404	validated
07c9d8d9-f1fc-4162-8823-d696c4bfe41e	07c9d8d9-f1fc-4162-8823-d696c4bfe41e/d551c7a2-3de8-4ecc-aaff-7dd2b2a23dd1.FPKM.txt.gz	f8428d2f7aac0756f9eb408b62d3e52b	288854	validated
07d5c097-4705-45df-a80c-8b32439bcf4d	07d5c097-4705-45df-a80c-8b32439bcf4d/a5221f20-8f57-41f4-974e-d78d08fb6f58.FPKM.txt.gz	680d87c7a1f711dd5b29be014ad15a60	301283	validated
